id,name,ingredients,steps,image_url
4e7eb202-cff6-11ed-afa1-0242ac120002,Smoked herring and potato salad recipe,"{""One very small onion, finely diced"",""¼ tsp sea salt"",""1 tbsp strong Dijon mustard"",""1 tsp lemon juice"",""1lb small new potatoes – evenly sized scrubbed but not peeled"",""2 tbsp extra virgin olive oil"",""7 ounces deboned fillets of smoked herring- cut into bite sized pieces"",""Small bunch of chervil (parsley or cilantro can be used instead) – roughly chopped""}","{""In a medium salad bowl combine onion, salt, mustard, and lemon juice"",""Place potatoes in a pan of unsalted water"",""Cover and bring to a low boil"",""Cook potatoes for 12 minutes or until cooked through"",""Drain and let rest until cool"",""Slice cooled potatoes into 1/2in rounds"",""Whisk olive oil into the onion mixture"",""Add potatoes and toss to coat"",""Add fish and herbs"",""Stir gently to combine""}",
4e7eb32e-cff6-11ed-afa1-0242ac120002,Brown butter perch,"{""1 cup flower"",""1 tsp salt"",""½ tsp finely ground black pepper"",""½ tsp cayenne pepper"",""8oz fresh perch fillets"",""2 tbsp butter"",""1 lemon, cut in half""}","{""Whisk flour, salt, black pepper, and cayenne pepper in a bowl"",""Gently press perch fillets into flour mixture to coat, shake off excess flour"",""Heat butter in a skillet over medium heat until butter is foaming and nut brown in color"",""Working in batches, place fillets in skillet and cook until light golden (About 2 minutes per side)"",""Transfer cooked fillets to plates, squeeze lemon juice over top""}",
4e7eb64e-cff6-11ed-afa1-0242ac120002,Grilled perch,"{""6 perch fillets"",""¼ stick butter"",""½ tomato, sliced"",""½ lemon, sliced"",""¼ tsp dill weed"",""¼ tsp garlic pepper"",""¼ orange pepper, sliced""}","{""Slice quarter inch pieces form a stick of butter"",""Place about three pieces onto a sheet of foil"",""Lay perch fillets on top of the butter"",""Place tomatoes and lemons on top of the fillets"",""Sprinkle the spices on top"",""Place peppers over the spices"",""Wrap the fillets in the foil"",""Grill for about 5-7min""}",
4e7eb7e8-cff6-11ed-afa1-0242ac120002,Pickled fish,"{""Northern pike"",""1 cup canning salt"",""4 cup water"",""Onion sliced"",""Brine (½ tsp whole cloves, 4 bay leaves, 1 tsp all spice, 2 cups sugar, 2 tbsp mustard seed, 2 cups white vinegar)""}","{""Dissolve the 1cup salt in the 4 cups of water"",""Filet fish and cut into serving pieces"",""Soak the fish in saltwater for 48 hours in a glass container"",""Rinse the fish and add white vinegar to cover fish and soak for 24 hours"",""Boil brine and cool"",""Drain vinegar off fish"",""When brine is cool pack fish in glass jars layering with onion slices and cover with cooled brined"",""Refrigerate for seven days""}",
4e7eb932-cff6-11ed-afa1-0242ac120002,Poor man’s lobster,"{""Northern pike"",""½ cup White sugar"",""½ tsp Salt"",Garlic,Butter}","{""Fillet northern pike into 1-2 inch cubes"",""Pour sugar and salt into a pot filled with boiling water"",""Stir sugar and salt into the water"",""Melt together garlic and butter"",""Place pike pieces into the salt sugar mixture long enough for it to float to the top""}",
4e7eba68-cff6-11ed-afa1-0242ac120002,Brown sugar salmon with rosemary mustard sauce,"{""1lb wild salmon, with skin"",""¼ cup brown sugar"",""1 tsp salt"",""½ tsp black pepper"",""1 ½ tbsp extra virgin olive oil, divided"",""2 tbsp Dijon mustard"",""1 tbsp minced rosemary"",""½ lemon, juiced""}","{""Combine brown sugar, salt and pepper in a shallow dish"",""Coat the salmon fillet or fillets on all sides with the sugar mixture"",""Heat a skillet over medium-high heat with 1 tbsp of olive oil"",""Once the oil is hot, add fillets skin side down to the pan"",""Cook for about 3-4 min until the skin is browned and crunchy"",""Flip and cook on all remaining sides for 3 min per side"",""Transfer skillet to oven and broil on high until the salmon is cooked through"",""While the salmon is in the oven, whisk together remaining olive oil, mustard, rosemary, and lemon juice in a small bowl"",""Drizzle mustard sauce over the top when the salmon is removed from the oven"",""Serve with a fresh salad""}",
4e7ec170-cff6-11ed-afa1-0242ac120002,Norwegian pan fried smelt,"{""1lb small smelt fish"",""1 cup all-purpose flour"",""2 tbsp cornmeal"",""1 tsp salt"",""¼ tsp pepper"",""Olive oil for frying"",Dressing,""2 tbsp olive oil"",""Juice of 1 lemon"",""1 clove garlic, minced"",""2 tbsp chopped fresh parsley""}","{Dressing,""In a small bowl, combine the oil, lemon juice, garlic, and parsley – set aside"",""Gently pry open the head of the fish and gently pull the gills along with the entrails"",""Rinse smelt under cold running water and drain well"",""In a bowl combine flour, cornmeal, salt, and pepper"",""Coat the smelt on both sides with the flour mixture"",""Heat the oil, about an inch deep, in a cast iron skillet over medium heat"",""Add fish shaking off the excess flour (Don’t crowd the fish)"",""Fry both sides of the fish for 2-3 minutes each"",""Serve hot drizzled with dressing""}",
4e7ec2c4-cff6-11ed-afa1-0242ac120002,Greek inspired sucker,"{""1 fish"",""2 tsp oregano"",""½ tsp kosher salt"",""½ tsp pepper"",""1 tbsp lemon juice"",""Grape leaves, enough to wrap completely around the fish""}","{""gut and scale fish, do not remove the head"",""lay the whole fish on the grape leaves (aluminum foil can be substituted)"",""drizzle the fish all over with lemon juice, inside and out"",""sprinkle with oregano, salt and pepper all over"",""wrap the fish up"",""heat oven to 375 degrees Fahrenheit"",""bake in an oven until the eyes are completely white""}",
4e7ec3f0-cff6-11ed-afa1-0242ac120002,Garlic alfredo tilapia,"{""4 tilapia fillets"",""2 tbsp olive oil"",""1 tbsp creole seasoning"",""3 tbsp butter"",""2 cloves garlic, minces"",""1 cup alfredo sauce""}","{""Preheat an oven to 425 degrees Fahrenheit"",""Brush tilapia fillets with oil on both sides, season with creole seasoning to taste"",""Place fish into a 9x13in baking dish"",""Bake in the preheated oven until fish flakes easily with a fork (About 10 min)"",Meanwhile,""Melt butter in a small saucepan"",""Stir in the garlic and cook until the garlic has softened, about 2 min"",""Stir in the alfredo sauce and bring to a simmer"",""Reduce heat to low"",""Pour sauce over the fish to serve""}",
4e7ec53a-cff6-11ed-afa1-0242ac120002,Pan seared tilapia,"{""4 4oz fillets of tilapia"",""Salt and pepper to taste"",""½ cup all-purpose flour"",""1 tbsp olive oil"",""2 tbsp unsalted butter, melted""}","{""Rinse fillets in cold water and pat dry with paper towels"",""Season both sides of fillets with salt and pepper"",""Place the flour in a shallow dish"",""Gently press each fillet into the four to coat and shake off excess"",""Heat olive oil in a skillet over medium-high heat"",""Cook the tilapia in hot oil until fish flakes easily (About 4 min a side)"",""Brush melted onto the tilapia just before removing from skillet""}",
4e7ec670-cff6-11ed-afa1-0242ac120002,Broiled steelhead trout basted with beer,"{""Trout fillets"",Onions,""Bacon chips"",""Assorted veggies"",""Samuel Addams cream stout beer"",Dill,Ginger,""Sea salt"",Pepper,""Juice of four limes"",Mushrooms,""Diced celery"",""Fine carrots""}","{""Make a mushroom sauce of mushrooms, diced celery, fine carrots, and dill"",""Fillet steelhead trout"",""Lay slabs onto broiling pan"",""Cover with onions and bacon chips"",""Lace with assorted veggies"",""Baste with beer"",""Sprinkle with dill, a touch of ginger, sea salt and pepper"",""Broil fish"",""When halfway done squeeze four full limes onto fish"",""When fish is golden brown"",""Serve with mushroom sauce""}",
4e7ecc88-cff6-11ed-afa1-0242ac120002,Foil baked or grilled lake trout,"{""Lake trout fillets"",""Onion, diced"",""Tomatoes, diced"",""Green pepper, diced"",Butter,Paprika,Salt,Pepper}","{""Place fillet on a piece of foil"",""Cover fish with veggies and add a pat of butter"",""Sprinkle with seasonings"",""Wrap in foil and place on grill or bake in oven until the fish flakes easily""}",
4e7ece0e-cff6-11ed-afa1-0242ac120002,Ultimate tuna noodle casserole,"{""8 oz egg noodles"",""3 tbsp butter"",""½ medium yellow onion, chopped"",""2 celery stalks, chopped"",""1pt cremini mushrooms, thinly sliced"",""½ tsp kosher salt"",""Freshly ground black pepper"",""Pinch of cayenne pepper"",""2 tbsp flour"",""¾ cup low sodium chicken broth"",""½ cup whole milk"",""1 tbsp lemon juice"",""1 6oz can water packed tuna, drained and flaked"",""1 cup white cheddar, grated"",""½ cup freshly grated parmesan, divided"",""2 tbsp freshly chopped parsley"",""2 tbsp freshly chopped dill"",""2 tbsp freshly chopped chives"",""¼ cup panko breadcrumbs""}","{""Cook noodles according to package directions and drain"",""Preheat oven to 375 degrees Fahrenheit"",""In large oven-safe skillet over medium heat, melt 2 tbsp butter"",""Add onion, celery, and mushrooms cook stirring occasionally until slightly softened (about 5 min.)"",""Season with salt, pepper and cayenne"",""Sprinkle flour over the mix and cook until cooked through, 2 min"",""Add chicken broth and whole milk and bring to a simmer"",""Let thicken for 2 to 3 minutes, then turn off heat"",""Stir in lemon juice, tuna, cheddar, ¼ cup parmesan, and herbs mix to combine"",""In small microwave safe bowl, melt remaining tablespoon of butter"",""Mix melted butter with panko and remaining parmesan and sprinkle over top of noodles"",""Bake until bubble and golden (17-19 minutes)""}",
4e7ecf4e-cff6-11ed-afa1-0242ac120002,The simplest great lakes whitefish,"{""½lb whitefish per person"",Lemon,Butter,""Fresh Italian flat-leaf parsley"",""Coarse salt"",""Freshly cracked black pepper""}","{""Lay the whitefish fillets on a baking sheet and dot with butter, salt, and pepper"",""Bake at 425 degrees Fahrenheit for 10-12 min"",""Top with fresh parsley and lemon zest""}",
4e7ed08e-cff6-11ed-afa1-0242ac120002,Honey fried walleye fillets,"{""8 large walleye fillets"",""2/3 cups oil"",""1 egg, slightly beaten"",""1 tsp honey"",""2 cups coarsely crushed Ritz cracker (or other cracker) crumbs"",""¼ cup flower"",""1 ½ tsp salt"",""½ tsp pepper""}","{""Dry fillets on paper towel"",""Heat oil in 10 in skillet to 30 degrees"",""Mix egg and honey together"",""Dip fillets in this mixture, then coat with cracker crumb and flour mixtures"",""Press crumbs into fillets firmly"",""Fry about 3 minutes on each side""}",
4e7e8dae-cff6-11ed-afa1-0242ac120002,Pan friend largemouth bass with lemon garlic herb butter sauce,"{""4 large mouth bass fillets – skin removed"",Salt,Pepper,""1 cup flour"",""4 tbsp unsalted butter"",""1 tbsp garlic, sliced thin"",""¼ cup mild fresh herbs (basil, parsley, chervil, oregano)"",""2 tbsp fresh lemon juice""}","{""Season fillets with salt and pepper"",""Heat a sauté pan"",""When the pan is hot, add 2 tbsp of olive oil and heat"",""Dredge bass fillets in four and shake off any excess"",""Place fillets in the pan and fry about 3 minutes a side"",""Remove fish from the pan"",""Add butter to the pan and melt"",""When the butter is hot, add the sliced garlic"",""Fry the garlic until lightly golden brown"",""Add herbs and remove from heat"",""Add lemon juice"",""Season with salt and pepper""}",
4e7e8b10-cff6-11ed-afa1-0242ac120002,Super simple salmon,"{""1 tbsp garlic powder"",""1 tbsp dried basil"",""½ tsp salt"",""4[four] 6oz salmon fillets"",""2 tbsp butter"",""4 lemon wedges""}","{""Stir together the garlic powder, basil, and salt in a small bowl"",""Rub equal amounts of spice mix onto the salmon fillets"",""Melt the butter in a skillet over medium heat"",""Cook the salmon in the butter until browned and flakey (About 5 min per side)"",""Serve salmon with lemon wedges""}",
